veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
21,Götene,,,<15,<15
21,Habo,16,5,20,6
21,Hagfors,,,<15,<15
21,Hallsberg,35,5,56,8
21,Hallstahammar,26,2,43,3
21,Halmstad,16,2,163,21
21,Hammarö,14,2,23,4
21,Haninge,47,3,431,32
21,Haparanda,,,<15,<15
21,Heby,27,4,38,5
21,Hedemora,18,1,28,1
21,Helsingborg,21,3,307,48
21,Herrljunga,35,5,33,5
21,Hjo,,,<15,<15
21,Hofors,50,8,48,8
21,Huddinge,54,5,608,62
21,Hudiksvall,41,7,153,25
21,Hultsfred,,,<15,<15
21,Hylte,15,0,16,0
21,Håbo,32,1,71,3
21,Hällefors,103,0,72,0
21,Härjedalen,30,15,30,15
21,Härnösand,21,3,53,7
21,Härryda,19,3,72,12
21,Hässleholm,9,3,47,18
21,Höganäs,9,2,25,5
21,Högsby,,,<15,<15
21,Hörby,,,<15,<15
21,Höör,,,<15,<15
21,Jokkmokk,,,<15,<15
21,Järfälla,45,3,357,20
21,Jönköping,47,7,663,99
21,Kalix,,,<15,<15
21,Kalmar,18,2,126,17
21,Karlsborg,,,<15,<15
21,Karlshamn,,,<15,<15
21,Karlskoga,44,4,134,12
21,Karlskrona,17,6,113,40
21,Karlstad,17,3,160,24
21,Katrineholm,72,1,251,4
21,Kil,13,2,16,2
21,Kinda,72,0,72,0
21,Kiruna,41,1,94,2
21,Klippan,,,<15,<15
21,Knivsta,20,2,37,4
21,Kramfors,43,4,79,8
21,Kristianstad,7,0,61,0
21,Kristinehamn,20,2,48,4
21,Krokom,34,2,51,3
21,Kumla,52,12,112,26
21,Kungsbacka,20,2,168,14
21,Kungsör,33,5,29,4
21,Kungälv,28,3,131,12
21,Kävlinge,,,<15,<15
21,Köping,49,1,128,3
21,Laholm,24,6,61,15
21,Landskrona,6,2,29,8
21,Laxå,79,4,45,2
21,Lekeberg,29,5,24,4
21,Leksand,35,3,56,4
21,Lerum,29,5,125,21
21,Lessebo,,,<15,<15
21,Lidingö,52,3,250,13
21,Lidköping,26,4,103,15
21,Lilla Edet,24,1,34,2
21,Lindesberg,29,2,68,4
21,Linköping,41,2,671,25
21,Ljungby,36,5,103,13
21,Ljusdal,21,4,39,8
21,Ljusnarsberg,,,<15,<15
21,Lomma,10,1,24,3
21,Ludvika,28,3,75,8
21,Luleå,11,1,86,9
21,Lund,10,3,124,33
21,Lycksele,,,<15,<15
21,Lysekil,12,1,18,1
21,Malmö Hyllie,16,1,62,4
21,Malmö Centrum,15,1,83,8
21,Malmö Oxie,,,<15,<15
21,Malmös kmn Kirseberg,10,2,16,3
21,Malmö Fosie,14,3,66,12
21,Malmö Limhamn-Bunkeflo,13,2,66,8
21,Malmö Västra Innerstaden,13,2,47,8
21,Malmö Södra Innerstaden,12,2,44,6
21,Malmö Rosengård,22,1,51,2
21,Malmö Husie,14,1,34,3
21,Malung,,,<15,<15
21,Malå,,,<15,<15
21,Mariestad,8,2,19,6
21,Mark,16,3,56,11
21,Markaryd,69,20,71,21
21,Mellerud,,,<15,<15
21,Mjölby,27,0,75,0
21,Mora,11,3,22,7
21,Motala,24,3,103,15
21,Mullsjö,,,<15,<15
21,Munkedal,24,4,25,4
21,Munkfors,56,35,21,13
21,Mölndal,31,3,212,20
21,Mönsterås,19,1,26,1
21,Mörbylånga,11,1,17,2
21,Nacka,51,5,537,52
21,Nora,18,2,19,2
21,Norberg,28,2,16,1
21,Nordanstig,,,<15,<15
21,Nordmaling,,,<15,<15
21,Norrköping,51,6,728,84
21,Norrtälje,16,1,101,8
21,Norsjö,,,<15,<15
21,Nybro,9,1,19,3
21,Nykvarn,35,0,38,0
21,Nyköping,49,5,279,28
21,Nynäshamn,22,2,62,7
21,Nässjö,48,3,150,11
21,Ockelbo,58,5,34,3
21,Okänd,,,397,35
21,Olofström,,,<15,<15
21,Orsa,,,<15,<15
21,Orust,12,4,19,6
21,Osby,,,<15,<15
21,Oskarshamn,9,0,25,1
21,Ovanåker,45,15,52,17
21,Oxelösund,52,3,62,3
21,Pajala,,,<15,<15
21,Partille,38,7,148,28
21,Perstorp,,,<15,<15
21,Piteå,6,1,24,5
21,Ragunda,,,<15,<15
21,Robertsfors,47,0,32,0
21,Ronneby,7,1,20,4
21,Rättvik,22,2,24,2
21,Sala,49,4,112,9
21,Salem,57,2,96,4
21,Sandviken,40,4,157,15
21,Sigtuna,50,4,247,22
21,Simrishamn,,,<15,<15
21,Sjöbo,9,2,18,4
21,Skara,18,4,33,7
21,Skellefteå,22,2,159,11
21,Skinnskatteberg,,,<15,<15
21,Skurup,,,<15,<15
21,Skövde,18,5,101,29
21,Smedjebacken,35,3,38,3
21,Sollefteå,32,5,62,9
21,Sollentuna,46,2,338,16
21,Solna,51,4,421,31
21,Sorsele,,,<15,<15
21,Sotenäs,20,6,18,5
21,Staffanstorp,6,1,16,2
21,Stenungsund,20,1,54,4
21,Stockholm Bromma,43,4,351,30
21,Stockholm Älvsjö,56,4,178,13
21,Stockholm - Kungsholmen,41,4,290,27
21,Stockholm Skarpnäck,51,6,238,28
21,Stockholm Norrmalm,49,3,360,22
21,Skhlm Spånga-Tensta,75,4,293,15
21,Stockholm Hägersten-Liljeholmen,38,3,351,30
21,Stockholm Östermalm,46,4,360,29
21,Stockholms kommun Enskede-Årsta-Vantör,55,5,569,49
21,Stockholm Hässelby-Vällingby,50,3,386,23
21,Stockholm kommun Skärholmen,75,6,285,22
21,Stockholm Södermalm,46,5,607,64
21,Stockholm Rinkeby-Kista,97,4,498,22
21,Stockholm Farsta,55,6,327,34
21,Storfors,,,<15,<15
21,Storuman,,,<15,<15
21,Strängnäs,21,2,78,7
21,Strömstad,,,<15,<15
21,Strömsund,,,<15,<15
21,Sundbyberg,59,3,307,17
21,Sundsvall,23,8,232,75
21,Sunne,14,2,19,3
21,Surahammar,,,<15,<15
21,Svalöv,,,<15,<15
21,Svedala,10,0,22,1
21,Svenljunga,19,4,20,4
21,Säffle,,,<15,<15
21,Säter,36,2,40,2
21,Sävsjö,20,0,23,0
21,Söderhamn,23,4,60,9
21,Söderköping,35,3,51,4
21,Södertälje,70,5,690,53
21,Sölvesborg,,,<15,<15
21,Tanum,13,2,17,2
21,Tibro,37,10,42,11
21,Tidaholm,41,5,53,7
21,Tierp,28,5,60,10
21,Timrå,53,15,96,27
21,Tingsryd,44,19,54,23
21,Tjörn,18,1,29,2
21,Tomelilla,,,<15,<15
21,Torsby,,,<15,<15
21,Torsås,29,0,21,0
21,Tranemo,,,<15,<15
21,Tranås,15,2,28,3
21,Trelleborg,7,1,32,4
21,Trollhättan,43,6,255,38
21,Trosa,30,7,41,9
21,Tyresö,56,4,273,20
21,Täby,35,2,254,15
21,Töreboda,,,<15,<15
21,Uddevalla,28,3,159,18
21,Ulricehamn,26,9,64,22
21,Umeå,15,2,195,32
21,Upplands Väsby,58,4,272,20
21,Upplands-Bro,37,2,109,6
21,Uppsala,50,6,1154,142
21,Uppvidinge,20,1,19,1
21,Vadstena,,,<15,<15
21,Vaggeryd,25,1,36,2
21,Valdemarsvik,47,9,37,7
21,Vallentuna,18,2,63,8
21,Vansbro,35,3,24,2
21,Vara,10,2,16,3
21,Varberg,30,5,197,32
21,Vaxholm,49,4,59,5
21,Vellinge,12,1,44,5
21,Vetlanda,22,3,60,9
21,Vilhelmina,,,<15,<15
21,Vimmerby,0,0,0,0
21,Vindeln,37,0,20,0
21,Vingåker,71,1,65,1
21,Vårgårda,19,2,23,2
21,Vänersborg,48,4,192,14
21,Vännäs,,,<15,<15
21,Värmdö,45,3,201,15
21,Värnamo,39,5,135,17
21,Västervik,8,0,30,1
21,Västerås,44,5,685,75
21,Växjö,32,4,297,33
21,Ydre,,,<15,<15
21,Ystad,,,<15,<15
21,Åmål,16,2,20,2
21,Ånge,,,<15,<15
21,Åre,52,3,61,4
21,Årjäng,,,<15,<15
21,Åsele,0,0,0,0
21,Åstorp,,,<15,<15
21,Åtvidaberg,41,4,47,5
21,Älmhult,37,7,66,13
21,Älvdalen,,,<15,<15
21,Älvkarleby,41,4,39,4
21,Älvsbyn,,,<15,<15
21,Ängelholm,9,3,38,13
21,Öckerö,39,17,50,22
21,Ödeshög,,,<15,<15
21,Örebro,63,5,977,80
21,Örkelljunga,,,<15,<15
21,Örnsköldsvik,10,2,54,9
21,Östersund,55,7,348,47
21,Österåker,25,1,113,5
21,Östhammar,47,1,105,2
21,Östra Göinge,,,<15,<15
21,Överkalix,0,0,0,0
21,Övertorneå,,,<15,<15
22,Ale,28,1,89,4
22,Alingsås,35,3,145,12
22,Alvesta,61,10,122,20
22,Aneby,57,1,39,1
22,Arboga,40,4,56,5
22,Arjeplog,,,<15,<15
22,Arvidsjaur,,,<15,<15
22,Arvika,23,10,60,25
22,Askersund,47,8,53,9
22,Avesta,25,1,58,2
22,Bengtsfors,,,<15,<15
22,Berg,74,8,52,6
22,Bjurholm,,,<15,<15
22,Bjuv,,,<15,<15
22,Boden,29,1,81,2
22,Bollebygd,17,6,16,6
22,Bollnäs,48,5,129,14
22,Borgholm,21,9,23,10
22,Borlänge,71,3,374,14
22,Borås,44,7,499,78
22,Botkyrka,65,6,619,59
22,Boxholm,29,0,16,0
22,Bromölla,,,<15,<15
22,Bräcke,98,21,62,13
22,Burlöv,27,3,52,6
22,Båstad,12,1,18,1
22,Dals-Ed,,,<15,<15
22,Danderyd,40,4,131,13
22,Degerfors,79,6,76,6
22,Dorotea,0,0,0,0
22,Eda,,,<15,<15
22,Ekerö,34,2,98,7
22,Eksjö,51,6,91,10
22,Emmaboda,,,<15,<15
22,Enköping,37,4,167,16
22,Eskilstuna,59,3,635,34
22,Eslöv,10,1,33,5
22,Essunga,,,<15,<15
22,Fagersta,31,4,42,6
22,Falkenberg,21,4,96,18
22,Falköping,17,2,58,7
22,Falun,56,3,331,15
22,Filipstad,54,3,58,3
22,Finspång,41,3,89,7
22,Flen,60,1,99,1
22,Forshaga,22,17,25,19
22,Färgelanda,,,<15,<15
22,Gagnef,67,3,69,3
22,Gislaved,17,4,51,12
22,Gnesta,62,7,70,8
22,Gnosjö,58,14,56,14
22,Gotland,14,2,83,11
22,Grums,,,<15,<15
22,Grästorp,,,<15,<15
22,Gullspång,,,<15,<15
22,Gällivare,14,4,24,7
22,Gävle,46,3,474,34
22,Göteborg Askim-Frölunda-Högsbo,40,5,259,9999999
22,Göteborg Centrum,37,4,239,24
22,Gbg Angered,45,5,243,28
22,Göteborg Majorna-Linné,37,5,235,30
22,Göteborg Örgryte-Härlanda,49,6,303,34
22,Göteborg Västra Hisingen,30,5,169,27
22,Göteborg Västra Göteborg,44,7,235,36
22,Göteborg Norra Hisingen,32,4,164,20
22,Göteborg Lundby,41,6,226,32
22,Göteborg Östra Göteborg,63,8,328,43
22,Götene,14,5,19,6
22,Habo,21,5,26,6
22,Hagfors,15,3,17,3
22,Hallsberg,40,4,63,7
22,Hallstahammar,28,2,46,3
22,Halmstad,19,3,193,30
22,Hammarö,16,2,26,3
22,Haninge,53,7,492,61
22,Haparanda,,,<15,<15
22,Heby,29,2,41,3
22,Hedemora,20,2,31,3
22,Helsingborg,24,4,360,53
22,Herrljunga,37,2,35,2
22,Hjo,,,<15,<15
22,Hofors,54,4,52,4
22,Huddinge,60,6,677,69
22,Hudiksvall,55,14,205,52
22,Hultsfred,,,<15,<15
22,Hylte,16,1,17,1
22,Håbo,35,3,77,6
22,Hällefors,103,0,72,0
22,Härjedalen,53,23,53,23
22,Härnösand,24,3,60,7
22,Härryda,22,3,82,10
22,Hässleholm,11,2,57,10
22,Höganäs,14,5,39,14
22,Högsby,,,<15,<15
22,Hörby,10,1,16,1
22,Höör,,,<15,<15
22,Jokkmokk,,,<15,<15
22,Järfälla,51,7,409,52
22,Jönköping,55,8,778,115
22,Kalix,,,<15,<15
22,Kalmar,22,4,154,28
22,Karlsborg,,,<15,<15
22,Karlshamn,,,<15,<15
22,Karlskoga,45,1,138,4
22,Karlskrona,25,8,169,56
22,Karlstad,20,3,190,30
22,Katrineholm,73,1,255,4
22,Kil,13,0,16,-199
22,Kinda,72,0,72,0
22,Kiruna,47,6,107,13
22,Klippan,,,<15,<15
22,Knivsta,24,5,46,9
22,Kramfors,52,9,95,16
22,Kristianstad,7,0,63,2
22,Kristinehamn,22,2,53,5
22,Krokom,39,5,59,8
22,Kumla,60,8,130,18
22,Kungsbacka,24,4,204,36
22,Kungsör,37,3,32,3
22,Kungälv,31,3,143,12
22,Kävlinge,,,<15,<15
22,Köping,50,2,132,4
22,Laholm,27,3,70,9
22,Landskrona,7,1,32,3
22,Laxå,81,2,46,1
22,Lekeberg,33,4,27,3
22,Leksand,38,3,60,4
22,Lerum,33,4,140,15
22,Lessebo,,,<15,<15
22,Lidingö,56,4,268,18
22,Lidköping,29,3,115,12
22,Lilla Edet,28,4,39,5
22,Lindesberg,31,2,73,5
22,Linköping,42,1,686,15
22,Ljungby,39,3,111,8
22,Ljusdal,23,2,43,4
22,Ljusnarsberg,,,<15,<15
22,Lomma,12,2,29,5
22,Ludvika,30,2,81,6
22,Luleå,13,2,100,14
22,Lund,12,2,152,28
22,Lycksele,,,<15,<15
22,Lysekil,16,4,24,6
22,Malmö Centrum,16,2,92,9
22,Malmö Rosengård,22,0,52,1
22,Malmö Västra Innerstaden,15,2,53,6
22,Malmö Husie,16,2,38,4
22,Malmös kmn Kirseberg,13,3,21,5
22,Malmö Fosie,18,3,82,16
22,Malmö Södra Innerstaden,13,1,47,3
22,Malmö Oxie,13,4,18,5
22,Malmö Limhamn-Bunkeflo,14,1,73,7
22,Malmö Hyllie,18,2,68,6
22,Malung,16,1,16,1
22,Malå,,,<15,<15
22,Mariestad,16,8,39,20
22,Mark,21,5,73,17
22,Markaryd,80,12,83,12
22,Mellerud,,,<15,<15
22,Mjölby,27,0,75,0
22,Mora,18,7,37,15
22,Motala,24,0,105,2
22,Mullsjö,,,<15,<15
22,Munkedal,24,0,25,0
22,Munkfors,126,70,47,26
22,Mölndal,34,3,236,24
22,Mönsterås,20,1,27,1
22,Mörbylånga,14,3,22,5
22,Nacka,55,4,581,44
22,Nora,18,0,19,0
22,Norberg,28,0,16,0
22,Nordanstig,,,<15,<15
22,Nordmaling,,,<15,<15
22,Norrköping,54,3,766,38
22,Norrtälje,20,4,123,22
22,Norsjö,,,<15,<15
22,Nybro,17,8,35,16
22,Nykvarn,39,5,43,5
22,Nyköping,54,4,304,25
22,Nynäshamn,26,4,73,11
22,Nässjö,54,7,171,21
22,Ockelbo,59,2,35,1
22,Okänd,,,430,33
22,Olofström,,,<15,<15
22,Orsa,,,<15,<15
22,Orust,16,3,24,5
22,Osby,,,<15,<15
22,Oskarshamn,10,1,28,3
22,Ovanåker,59,15,69,17
22,Oxelösund,55,3,66,4
22,Pajala,,,<15,<15
22,Partille,44,6,171,23
22,Perstorp,,,<15,<15
22,Piteå,8,3,35,11
22,Ragunda,,,<15,<15
22,Robertsfors,49,1,33,1
22,Ronneby,9,2,27,7
22,Rättvik,24,2,26,2
22,Sala,54,5,124,12
22,Salem,59,2,99,3
22,Sandviken,45,5,178,21
22,Sigtuna,57,6,278,31
22,Simrishamn,,,<15,<15
22,Sjöbo,10,1,19,1
22,Skara,30,12,56,23
22,Skellefteå,23,1,166,7
22,Skinnskatteberg,,,<15,<15
22,Skurup,,,<15,<15
22,Skövde,26,8,148,47
22,Smedjebacken,40,6,44,6
22,Sollefteå,34,2,66,4
22,Sollentuna,50,4,368,30
22,Solna,55,4,450,29
22,Sorsele,,,<15,<15
22,Sotenäs,20,0,18,0
22,Staffanstorp,8,2,20,4
22,Stenungsund,22,1,58,4
22,Stockholm Norrmalm,54,5,398,38
22,Stockholm - Kungsholmen,45,4,321,31
22,Stockholm Rinkeby-Kista,101,3,515,17
22,Stockholm Hässelby-Vällingby,55,4,419,33
22,Stockholm kommun Skärholmen,81,6,308,23
22,Stockholm Södermalm,50,3,650,43
22,Stockholm Älvsjö,62,6,196,18
22,Stockholms kommun Enskede-Årsta-Vantör,63,8,648,79
22,Stockholm Hägersten-Liljeholmen,44,6,408,57
22,Stockholm Östermalm,49,3,384,24
22,Stockholm Farsta,64,9,382,55
22,Skhlm Spånga-Tensta,79,4,308,15
22,Stockholm Bromma,48,5,390,39
22,Stockholm Skarpnäck,60,9,280,42
22,Storfors,,,<15,<15
22,Storuman,,,<15,<15
22,Strängnäs,23,2,85,7
22,Strömstad,,,<15,<15
22,Strömsund,,,<15,<15
22,Sundbyberg,62,4,326,19
22,Sundsvall,30,7,299,67
22,Sunne,17,3,23,4
22,Surahammar,23,9,23,9
22,Svalöv,,,<15,<15
22,Svedala,12,2,27,5
22,Svenljunga,24,6,26,6
22,Säffle,,,<15,<15
22,Säter,38,2,42,2
22,Sävsjö,20,0,23,0
22,Söderhamn,28,4,71,11
22,Söderköping,38,3,56,5
22,Södertälje,76,6,748,58
22,Sölvesborg,,,<15,<15
22,Tanum,15,2,19,2
22,Tibro,59,21,66,24
22,Tidaholm,46,5,59,6
22,Tierp,35,6,73,13
22,Timrå,62,8,111,15
22,Tingsryd,56,12,69,15
22,Tjörn,21,2,33,4
22,Tomelilla,,,<15,<15
22,Torsby,,,<15,<15
22,Torsås,29,0,21,0
22,Tranemo,,,<15,<15
22,Tranås,16,1,30,2
22,Trelleborg,9,2,40,8
22,Trollhättan,47,4,280,25
22,Trosa,33,3,45,4
22,Tyresö,63,7,305,32
22,Täby,38,3,276,22
22,Töreboda,32,20,30,19
22,Uddevalla,30,2,172,13
22,Ulricehamn,39,13,95,31
22,Umeå,17,2,217,22
22,Upplands Väsby,66,8,309,37
22,Upplands-Bro,40,3,117,8
22,Uppsala,58,8,1329,175
22,Uppvidinge,21,1,20,1
22,Vadstena,,,<15,<15
22,Vaggeryd,30,5,43,7
22,Valdemarsvik,50,3,39,2
22,Vallentuna,21,2,71,8
22,Vansbro,43,7,29,5
22,Vara,11,1,17,1
22,Varberg,37,6,237,40
22,Vaxholm,50,1,60,1
22,Vellinge,13,1,48,4
22,Vetlanda,27,5,74,14
22,Vilhelmina,,,<15,<15
22,Vimmerby,,,<15,<15
22,Vindeln,37,0,20,0
22,Vingåker,71,0,65,0
22,Vårgårda,30,11,36,13
22,Vänersborg,52,4,207,15
22,Vännäs,,,<15,<15
22,Värmdö,50,5,224,23
22,Värnamo,44,5,151,16
22,Västervik,8,0,30,0
22,Västerås,51,6,785,100
22,Växjö,36,4,337,40
22,Ydre,,,<15,<15
22,Ystad,,,<15,<15
22,Åmål,26,10,33,13
22,Ånge,20,4,19,4
22,Åre,58,6,68,7
22,Årjäng,,,<15,<15
22,Åsele,0,0,0,0
22,Åstorp,,,<15,<15
22,Åtvidaberg,42,1,48,1
22,Älmhult,41,3,72,6
22,Älvdalen,,,<15,<15
22,Älvkarleby,44,3,42,3
22,Älvsbyn,,,<15,<15
22,Ängelholm,11,2,45,7
22,Öckerö,54,15,70,20
22,Ödeshög,,,<15,<15
22,Örebro,67,4,1037,60
22,Örkelljunga,,,<15,<15
22,Örnsköldsvik,13,3,73,19
22,Östersund,60,5,380,32
22,Österåker,28,3,126,13
22,Östhammar,52,5,116,11
22,Östra Göinge,,,<15,<15
22,Överkalix,0,0,0,0
22,Övertorneå,,,<15,<15
23,Ale,39,11,124,35
23,Alingsås,45,10,187,42
23,Alvesta,71,10,142,20
23,Aneby,60,3,41,2
23,Arboga,42,2,59,3
23,Arjeplog,,,<15,<15
23,Arvidsjaur,,,<15,<15
23,Arvika,26,3,69,9
23,Askersund,47,1,54,1
23,Avesta,26,1,61,3
23,Bengtsfors,,,<15,<15
23,Berg,74,0,52,0
23,Bjurholm,,,<15,<15
23,Bjuv,,,<15,<15
23,Boden,32,3,89,8
23,Bollebygd,31,14,29,13
23,Bollnäs,55,7,149,20
23,Borgholm,25,4,27,4
23,Borlänge,74,3,390,16
23,Borås,62,17,697,198
23,Botkyrka,70,4,658,39
23,Boxholm,33,4,18,2
23,Bromölla,,,<15,<15
23,Bräcke,117,19,74,12
23,Burlöv,30,3,57,5
23,Båstad,14,2,21,3
23,Dals-Ed,,,<15,<15
23,Danderyd,43,3,141,10
23,Degerfors,97,19,94,18
23,Dorotea,0,0,0,0
23,Eda,,,<15,<15
23,Ekerö,36,2,104,6
23,Eksjö,54,3,96,5
23,Emmaboda,,,<15,<15
23,Enköping,40,4,183,16
23,Eskilstuna,64,5,686,51
23,Eslöv,12,2,41,8
23,Essunga,,,<15,<15
23,Fagersta,36,4,48,6
23,Falkenberg,27,6,121,25
23,Falköping,24,7,80,22
23,Falun,60,4,357,26
23,Filipstad,56,2,60,2
23,Finspång,53,13,117,28
23,Flen,60,0,99,0
23,Forshaga,28,6,32,7
23,Färgelanda,29,6,19,4
23,Gagnef,70,3,72,3
23,Gislaved,19,2,57,6
23,Gnesta,65,4,74,4
23,Gnosjö,61,3,59,3
23,Gotland,15,2,92,9
23,Grums,18,8,16,7
23,Grästorp,30,5,17,3
23,Gullspång,,,<15,<15
23,Gällivare,31,18,55,31
23,Gävle,52,5,528,54
23,Gbg Angered,67,22,364,121
23,Göteborg Lundby,58,17,318,92
23,Göteborg Centrum,50,13,323,84
23,Göteborg Östra Göteborg,79,16,409,81
23,Göteborg Norra Hisingen,45,13,232,68
23,Göteborg Västra Göteborg,56,12,302,67
23,Göteborg Västra Hisingen,40,11,230,61
23,Göteborg Askim-Frölunda-Högsbo,50,9,319,60
23,Göteborg Majorna-Linné,48,12,310,75
23,Göteborg Örgryte-Härlanda,69,19,421,118
23,Götene,16,2,21,2
23,Habo,25,4,31,5
23,Hagfors,20,5,23,6
23,Hallsberg,45,5,71,8
23,Hallstahammar,32,4,52,6
23,Halmstad,22,3,222,29
23,Hammarö,18,2,30,4
23,Haninge,58,5,535,43
23,Haparanda,,,<15,<15
23,Heby,31,2,44,3
23,Hedemora,22,2,34,3
23,Helsingborg,27,3,405,45
23,Herrljunga,40,3,38,3
23,Hjo,,,<15,<15
23,Hofors,56,2,54,2
23,Huddinge,67,7,758,81
23,Hudiksvall,68,14,256,51
23,Hultsfred,11,3,16,4
23,Hylte,17,1,18,1
23,Håbo,37,2,82,5
23,Hällefors,106,3,74,2
23,Härjedalen,66,14,67,14
23,Härnösand,28,4,70,10
23,Härryda,31,10,119,37
23,Hässleholm,14,3,71,14
23,Höganäs,18,3,48,9
23,Högsby,,,<15,<15
23,Hörby,12,2,19,3
23,Höör,,,<15,<15
23,Jokkmokk,,,<15,<15
23,Järfälla,59,7,468,59
23,Jönköping,64,9,901,123
23,Kalix,14,6,22,10
23,Kalmar,25,3,174,20
23,Karlsborg,,,<15,<15
23,Karlshamn,6,2,19,6
23,Karlskoga,53,8,161,23
23,Karlskrona,34,9,227,58
23,Karlstad,24,4,225,35
23,Katrineholm,75,1,260,5
23,Kil,15,2,18,2
23,Kinda,75,3,75,3
23,Kiruna,49,2,112,5
23,Klippan,,,<15,<15
23,Knivsta,40,16,76,30
23,Kramfors,57,5,105,10
23,Kristianstad,8,1,68,5
23,Kristinehamn,28,6,68,15
23,Krokom,44,5,66,7
23,Kumla,69,9,150,20
23,Kungsbacka,30,6,251,47
23,Kungsör,47,10,41,9
23,Kungälv,38,8,178,35
23,Kävlinge,,,<15,<15
23,Köping,52,2,137,5
23,Laholm,28,1,73,3
23,Landskrona,8,1,35,3
23,Laxå,81,0,46,0
23,Lekeberg,35,2,29,2
23,Leksand,40,3,64,4
23,Lerum,43,10,182,42
23,Lessebo,,,<15,<15
23,Lidingö,60,5,290,22
23,Lidköping,35,6,141,26
23,Lilla Edet,35,8,50,11
23,Lindesberg,33,2,78,5
23,Linköping,46,4,752,66
23,Ljungby,42,3,120,9
23,Ljusdal,31,8,58,15
23,Ljusnarsberg,,,<15,<15
23,Lomma,13,1,32,3
23,Ludvika,31,1,83,2
23,Luleå,15,2,117,17
23,Lund,15,3,186,34
23,Lycksele,,,<15,<15
23,Lysekil,21,4,30,6
23,Malmö Centrum,18,2,102,10
23,Malmö Västra Innerstaden,16,1,58,5
23,Malmö Hyllie,19,2,74,6
23,Malmö Husie,19,3,45,7
23,Malmö Fosie,20,2,91,9
23,Malmö Rosengård,24,2,57,5
23,Malmös kmn Kirseberg,15,2,25,4
23,Malmö Oxie,15,2,21,3
23,Malmö Limhamn-Bunkeflo,15,1,80,7
23,Malmö Södra Innerstaden,16,3,58,11
23,Malung,18,2,18,2
23,Malå,,,<15,<15
23,Mariestad,25,9,61,22
23,Mark,39,18,136,63
23,Markaryd,82,2,85,2
23,Mellerud,19,4,18,4
23,Mjölby,31,4,86,11
23,Mora,31,13,63,26
23,Motala,28,4,121,16
23,Mullsjö,,,<15,<15
23,Munkedal,27,3,28,
23,Munkfors,158,32,59,12
23,Mölndal,46,12,317,81
23,Mönsterås,22,1,29,2
23,Mörbylånga,17,3,26,4
23,Nacka,59,3,616,35
23,Nora,21,3,22,3
23,Norberg,33,5,19,3
23,Nordanstig,20,8,19,8
23,Nordmaling,,,<15,<15
23,Norrköping,61,7,869,103
23,Norrtälje,23,3,142,19
23,Norsjö,,,<15,<15
23,Nybro,22,4,44,9
23,Nykvarn,44,5,48,5
23,Nyköping,56,2,318,14
23,Nynäshamn,31,6,89,16
23,Nässjö,60,5,188,17
23,Ockelbo,64,5,38,3
23,Okänd,,,480,50
23,Olofström,,,<15,<15
