veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
21,Ale,27,2,85,6
21,Alingsås,32,5,133,20
21,Alvesta,51,4,102,8
21,Aneby,55,1,38,1
21,Arboga,36,6,51,9
21,Arjeplog,,,<15,<15
21,Arvidsjaur,,,<15,<15
21,Arvika,13,8,35,21
21,Askersund,39,11,44,12
21,Avesta,24,3,56,6
21,Bengtsfors,,,<15,<15
21,Berg,65,23,46,16
21,Bjurholm,,,<15,<15
21,Bjuv,,,<15,<15
21,Boden,28,1,79,4
21,Bollebygd,,,<15,<15
21,Bollnäs,43,11,115,29
21,Borgholm,,,<15,<15
21,Borlänge,68,2,360,11
21,Borås,37,7,421,79
21,Botkyrka,59,4,560,42
21,Boxholm,29,5,16,3
21,Bromölla,,,<15,<15
21,Bräcke,78,11,49,7
21,Burlöv,24,1,46,2
21,Båstad,11,1,17,2
21,Dals-Ed,,,<15,<15
21,Danderyd,36,2,118,5
21,Degerfors,72,19,70,18
21,Dorotea,0,0,0,0
21,Eda,,,<15,<15
21,Ekerö,32,2,91,7
21,Eksjö,46,5,81,8
21,Emmaboda,,,<15,<15
21,Enköping,33,4,151,17
21,Eskilstuna,56,2,601,18
21,Eslöv,8,1,28,4
21,Essunga,,,<15,<15
21,Fagersta,27,2,36,3
21,Falkenberg,17,2,78,7
21,Falköping,15,1,51,4
21,Falun,53,5,316,30
21,Filipstad,52,6,55,6
21,Finspång,37,5,82,12
21,Flen,59,1,98,1
21,Forshaga,,,<15,<15
21,Färgelanda,,,<15,<15
21,Gagnef,64,2,66,2
21,Gislaved,13,2,39,5
21,Gnesta,55,4,62,4
21,Gnosjö,43,2,42,2
21,Gotland,12,1,72,6
21,Grums,,,<15,<15
21,Grästorp,,,<15,<15
21,Gullspång,,,<15,<15
21,Gällivare,10,1,17,1
21,Gävle,43,4,440,36
21,Gbg Angered,40,4,215,20
21,Göteborg Västra Hisingen,25,3,142,15
21,Göteborg Norra Hisingen,28,5,144,24
21,Göteborg Lundby,35,7,194,36
21,Göteborg Västra Göteborg,37,5,199,26
21,Göteborg Askim-Frölunda-Högsbo,35,5,227,29
21,Göteborg Östra Göteborg,55,4,285,20
21,Göteborg Majorna-Linné,32,4,205,27
21,Göteborg Centrum,34,3,215,21
21,Göteborg Örgryte-Härlanda,44,6,269,36
